CASEID,agearr10,agecxryg,agefhsdg,agegr10,agehsdyg,aprgrdif,ageprg10,sex,marstat,sexpr,prtypec,chh0014c,chinhsdc,cxr0014c,cxrflag,cxrtime6,parnum,livarr08,livarr11,fhsd,mhsd,agemhsdg,grfhsd,grmhsd,sonhsd,dauhsd,solhsdc,grsohsdc,grchhsdc,grdahsdc,brhsdc,brohsdc,sihsdc,ilhsdc,orelhsdc,unrlhsdc,hsdsizec,hsdeligc,multigen,luc_rst,prv,ehg3_01,ttlincg2,famincg2
 1488,96,96,96,5, 6,10, 5,1,1,2,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,47, 3,3,5
 1489,96,96, 2,1, 2,96,96,2,6,6,0,1,0,0,2,1,1,4, 9,1,2,96,2,2,0,0,0,0,0,0,0,0,1,0,0,0,3,2,2,1,24, 1,1,3
 1490,96,96,96,2, 3,96,96,1,6,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,24, 3,2,2
 1491,96,96,96,6, 8,96,96,1,5,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,46, 7,3,3
 1492, 1,96,96,3, 4,96,96,1,6,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,35, 7,5,5
 1493,96,96,96,3, 5,96,96,1,3,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,35, 1,1,1
 1494,96,96, 3,2, 3,96,96,1,6,6,0,0,0,0,2,1,2,6, 8,1,1, 3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,10, 6,6,6
 1495,96, 4,96,4, 2,10, 5,2,1,1,1,0,1,0,1,1,0,5, 3,2,2,96,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,10, 2,3,6
 1496,96,96,96,7, 9,96,96,2,3,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,35, 2,2,2
 1497,96,96,96,6, 8, 7, 6,1,1,2,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,24, 1,2,2
 1498,96,96,96,5, 7,96,96,1,5,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,59, 2,1,1
 1499,96,96,96,3, 4,15, 4,1,2,2,2,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,24, 3,2,4
 1500, 5, 6,96,5, 3, 2, 4,1,1,2,1,0,1,0,1,1,0,5, 4,2,2,96,2,2,0,1,0,0,0,0,0,0,0,0,0,0,3,3,2,1,35, 7,3,6
 1501,96,96,96,6, 7, 8, 6,2,1,1,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,35, 2,1,4
 1502,96, 5,96,5, 3, 6, 5,1,1,2,1,0,1,0,1,1,0,5, 3,2,2,96,2,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,59, 6,6,6
 1503,96,96,96,6, 6, 1, 5,1,1,2,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,35, 2,2,2
 1504,96,96,96,5, 7,96,96,1,5,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,59, 6,1,1
 1505,96,96,96,4, 5,96,96,1,6,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,59, 2,2,2
 1506, 3, 1,96,3, 1,10, 3,1,1,2,1,3,1,3,1,5,0,5, 3,2,2,96,2,2,2,1,0,0,0,0,0,0,0,0,0,0,5,2,2,2,59, 3,2,3
 1507, 6, 6,96,5, 1, 6, 4,1,1,2,1,1,1,0,1,1,0,5,10,2,2,96,2,2,1,0,0,0,1,1,0,0,0,1,0,0,5,4,1,1,59, 2,1,2
 1508,96,96,96,6, 7,96,96,1,5,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,59, 5,2,2
 1509,96,96,96,2, 3,96,96,2,6,6,0,0,0,0,2,1,0,5, 1,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,46, 3,2,2
 1510, 3, 1,96,3, 1, 4, 3,1,1,2,1,3,3,3,1,5,0,5, 3,2,2,96,2,2,2,1,0,0,0,0,0,0,0,0,0,0,5,2,2,1,24, 7,6,6
 1511, 4, 1,96,3, 1, 5, 3,1,1,2,1,2,2,2,1,5,0,5, 3,2,2,96,2,2,1,1,0,0,0,0,0,0,0,0,0,0,4,2,2,1,59, 3,1,1
 1512, 2,96,96,1, 3,96,96,1,6,6,0,0,0,0,2,1,0,1,10,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,3,4,4,2,1,35, 4,1,6
 1513, 2, 3,96,4, 2,12, 4,2,1,1,1,1,2,1,1,6,0,5, 3,2,2,96,2,2,1,1,0,0,0,0,0,0,0,0,0,0,4,3,2,1,46, 2,3,5
 1514,96, 2,96,3, 1,96,96,1,4,6,0,2,2,2,1,3,0,5, 6,2,2,96,2,2,1,1,0,0,0,0,0,0,0,0,0,0,3,1,2,1,10, 6,2,2
 1515, 3,96,96,2, 4,14, 3,2,1,1,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,47, 6,1,4
 1516, 6,96,96,6, 8,15, 7,2,1,1,1,0,0,0,2,1,0,5, 2,2,2,96,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,35, 2,1,2
 1517,96,96,96,1, 2,96,96,2,6,6,0,0,0,0,2,1,1,3, 9,2,1, 2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,3,3,2,1,48, 2,1,1
 1518,96, 1,96,2, 1, 9, 3,2,1,1,1,1,1,1,1,2,0,5, 3,2,2,96,2,2,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2,1,10, 4,2,6
